label,orb_avg_0,orb_avg_1,orb_avg_2,orb_avg_3,orb_avg_4,orb_avg_5,orb_avg_6,orb_avg_7,orb_avg_8,orb_avg_9,orb_avg_10,orb_avg_11,orb_avg_12,orb_avg_13,orb_avg_14,orb_avg_15,orb_avg_16,orb_avg_17,orb_avg_18,orb_avg_19,orb_avg_20,orb_avg_21,orb_avg_22,orb_avg_23,orb_avg_24,orb_avg_25,orb_avg_26,orb_avg_27,orb_avg_28,orb_avg_29,orb_avg_30,orb_avg_31
1F1N,127.844,120.644,99.776,107.52,102.754,122.51,102.074,92.816,127.006,165.818,116.552,69.882,157.208,127.208,78.222,78.304,126.266,137.686,127.96,64.518,89.444,133.596,191.886,54.932,192.156,183.614,93.44,89.358,113.046,112.07,113.014,91.49
1F1N,108.49,134.912,115.674,147.68,124.968,145.374,138.836,137.002,125.722,115.492,149.392,119.398,127.596,146.538,106.178,116.366,137.736,148.586,125.97,137.24,130.782,131.382,116.314,146.656,148.508,144.794,127.164,134.706,107.154,121.238,135.69,141.674
1F1N,105.464,133.978,131.428,117.484,133.17,138.69,134.84,134.814,130.148,142.406,139.558,122.222,123.05,143.442,123.064,123.548,133.572,144.012,142.016,121.152,135.956,141.184,142.38,132.134,133.264,156.516,103.784,129.658,129.28,133.886,129.506,148.962
1F1N,131.61,123.26,112.444,99.306,108.952,99.08,97.418,101.746,113.276,178.526,137.89,99.754,169.366,109.146,87.212,89.3,114.012,157.304,144.862,77.87,99.626,115.654,214.76,50.726,186.3,176.982,114.256,98.25,122.986,122.842,106.088,80.63
1F1N,107.894,135.046,118.152,149.296,121.142,146.06,137.354,136.872,129.676,113.044,146.194,114.79,130.476,145.648,105.958,119.676,138.34,145.374,128.032,137.212,129.748,136.084,116.538,147.58,144.136,147.518,125.51,129.11,106.774,118.518,132.178,142.284
1F1N,106.148,132.734,117.348,149.26,119.49,147.5,140.562,135.878,127.416,113.842,147.252,120.652,129.644,145.326,107.19,114.372,140.976,143.892,127.174,137.288,130.526,135.178,115.532,151.496,144.244,144.742,126.152,135.072,110.232,120.286,128.532,143.78
1F1N,101.37,93.892,118.43,103.464,103.488,68.196,98.364,85.54,82.394,207.166,114.42,92.808,162.218,72.772,102.76,87.112,107.65,141.26,144.454,53.954,85.888,90.406,215.644,45.904,169.85,153.788,119.038,97.504,121.678,119.516,74.134,81.142
1F1N,109.386,134.92,115.23,147.688,125.386,146.084,140.252,137.854,126.68,113.456,148.572,114.93,128.464,148.906,105.834,115.36,137.34,146.918,125.336,137.764,130.318,132.47,115.748,148.244,149.476,145.656,126.996,134.078,106.842,120.656,134.968,141.586
1F1N,111.532,134.968,112.638,148.76,117.906,146.028,141.742,133.798,132.018,112.396,149.416,116.96,124.694,148.848,106.648,110.826,139.298,145.924,127.796,138.174,133.698,132.412,114.454,148.452,147.464,142.756,128.278,133.636,107.98,118.84,133.068,139.452
1F1N,128.678,117.31,108.038,102.372,106.358,123.052,102.704,89.63,123.962,165.528,124.4,76.154,164.232,121.52,77.396,76.556,123.228,146.662,129.692,73.208,92.486,139.1,197.794,55.204,190.568,184.266,91.4,95.028,111.526,117.212,103.968,93.602
1F1N,117.66,105.786,96.096,105.402,93.546,116.292,98.442,84.944,115.908,160.57,110.318,66.186,149.03,120.168,75.258,76.224,119.772,130.116,124.124,57.068,79.748,125.408,188.396,50.742,187.764,178.93,89.866,83.236,107.146,103.862,102.13,87.14
1F1N,104.144,133.704,111.702,144.684,117.878,143.482,136.518,132.956,127.03,105.956,143.762,115.468,125.15,146.616,105.35,111.078,134.288,140.982,124.01,133.028,129.81,129.862,111.73,148.798,143.116,143.086,124.728,133.108,105.304,114.168,130.298,135.164
1F1N,108.502,133.97,118.52,145.99,121.032,145.236,142.102,134.718,131.786,112.092,151.178,116.308,124.266,150.58,108.142,113.66,137.862,147.538,126.722,136.648,131.338,132.312,115.604,149.006,149.278,144.742,125.636,130.588,109.18,121.034,134.63,142.566
1F1N,101.914,93.538,118.026,101.96,103.124,70.576,99.86,85.462,84.21,208.418,114.66,93.406,162.518,73.076,102.494,90.766,106.248,140.2,144.508,54.6,88.026,91.494,216.036,45.54,169.74,152.476,118.116,96.254,120.936,118.834,76.58,80.476
1F1N,107.302,128.998,140.184,113.968,136.412,134.266,134.912,130.358,130.502,154.55,132.134,122.186,126.88,137.476,124.342,117.43,137.132,143.578,147.018,118.416,130.622,134.988,149.804,127.116,134.362,150.746,107.836,129.936,131.544,130.99,129.45,147.018
1F1N,128.164,121.68,101.868,111.388,110.776,123.04,99.792,94.624,126.232,171.99,118.796,65.572,156.736,131.6,78.686,79.216,125.522,141.122,127.224,63.894,87.034,131.14,194.272,54.172,194.074,181.356,96.616,90.986,112.614,111.878,115.8,92.286
1F1N,104.316,129.472,134.694,114.358,133.47,142.22,135.046,130.312,128.808,145.752,137.234,122.08,123.47,142.72,121.35,119.884,134.686,145.964,143.812,121.196,133.61,143.676,144.304,130.456,132.416,153.09,102.842,129.94,132.688,134.474,127.022,149.67
1F1N,100.892,133.58,112.7,139.964,122.23,149.248,142.392,129.412,127.674,105.372,145.844,111.38,122.162,146.57,105.368,104.344,139.274,142.568,126.316,133.914,133.878,130.956,108.614,149.598,134.208,132.046,122.732,139.286,105.544,111.554,135.932,144.042
1F1N,104.85,132.542,136.812,116.008,137.258,140.402,135.742,135.324,130.662,141.78,137.054,122.712,126.928,145.854,124.556,114.748,135.374,140.734,145.49,119.094,131.514,141.142,142.31,132.876,132.656,155.18,102.32,130.494,130.388,134.186,123.82,148.332
1F1N,105.942,128.188,132.802,115.336,134.02,140.198,136.482,130.564,129.172,144.208,137.108,120.258,123.53,141.454,120.228,119.946,135.518,144.242,142.788,121.262,133.236,141.412,143.812,129.91,131.676,155.024,104.252,128.638,133.622,133.576,126.05,148.448
1F1N,127.872,127.498,117.334,104.852,106.68,90.4,98.536,101.836,118.444,188.184,129.188,95.556,168.85,109.812,92.948,86.26,111.07,150.372,143.354,77.062,99.496,108.898,214.75,50.236,183.446,162.55,119.854,101.73,117.236,123.452,98.428,83.778
1F1N,105.382,130.594,139.322,113.548,136.45,135.902,134.602,129.908,132.16,154.212,133.982,123.176,126.454,137.974,124.772,120.526,132.716,145.168,148.164,119.498,132.648,138.064,150.108,129.758,134.71,154.444,108.07,129.984,132.57,134.308,128.956,146.438
1F2N,113.558,133.38,130.448,123.838,125.122,122.036,118.464,129.666,131.602,131.018,141.398,101.42,145.208,130.264,95.722,102.728,119.324,151.74,134.79,109.134,116.67,151.334,159.342,91.152,162.604,161.466,102.53,101.608,125.23,139.318,123.418,119.812
1F2N,105.188,136.652,110.796,162.19,128.326,144.866,137.236,136.78,125.436,103.048,143.25,98.702,147.978,140.27,110.894,114.502,147.998,123.2,104.154,129.688,122.598,143.712,113.764,151.76,147.652,155.63,137.342,120.964,110.216,121.592,139.332,129.86
1F2N,104.914,125.292,143.49,161.632,125.294,134.128,172.012,141.73,125.394,147.024,176.514,121.584,148.448,167.17,127.126,137.184,174.412,151.758,147.35,147.756,140.904,163.712,146.028,191.552,133.24,136.92,151.664,147.102,114.252,124.554,124.732,164.982
1F2N,124.122,132.814,124.13,141.054,122.696,137.776,120.93,123.798,127.756,111.33,156.976,111.064,148.33,130.85,104.896,112.026,132.302,147.9,137.534,114.422,115.554,137.514,146.35,111.782,158.374,168.184,118.512,110.628,128.654,130.594,127.456,116.812
1F2N,106.808,132.966,111.206,162.214,126.926,141.188,135.294,136.182,123.084,105.182,148.694,94.708,149.082,137.472,107.908,105.104,145.448,126.722,102.878,124.546,112.09,145.818,116.118,148.94,151.902,154.536,136.728,118.952,116.776,123.614,137.026,128.388
1F2N,119.982,140.298,128.84,143.76,122.922,143.188,119.508,127.134,136.28,111.282,153.17,104.952,148.068,143.428,101.866,114.032,139.996,144.536,138.394,109.514,116.892,132.352,146.636,116.962,158.864,164.08,116.304,112.828,129.804,120.69,131.758,116.272
1F2N,109.428,132.922,113.25,161.456,130.554,139.8,138.72,135.228,125.386,116.628,143.944,98.424,152.354,141.286,111.832,112.236,147.966,128.39,103.468,129.032,120.656,148.174,113.764,148.804,151.494,155.406,138.134,122.32,115.992,125.676,132.318,127.184
1F2N,112.302,135.292,125.826,116.056,131.326,143.092,131.752,140.39,130.048,125.964,148.23,118.158,135.554,145.536,108.346,117.444,135.688,136.374,142.162,130.976,132.728,138.164,132.158,126.178,136.994,141.56,113.88,126.674,122.41,127.226,123.306,146.522
1F2N,109.75,133.41,120.862,149.95,130.612,130.662,138.952,130.61,125.558,115.018,154.618,111.046,138.176,135.746,115.228,114.538,145.464,140.32,128.844,130.518,132.264,136.224,130.67,148.538,141.306,149.97,130.844,125.226,121.144,126.044,135.636,130.724
1F2N,113.904,135.12,131.242,120.856,126.574,119.41,116.246,132.258,132.788,134.488,139.976,98.884,149.24,133.086,96.084,102.158,118.498,152.21,137.526,104.668,120.35,148.774,162.542,87.958,160.372,159.794,97.08,103.562,124.808,136.002,121.214,118.412
1F2N,113.438,135.296,129.09,115.856,132.152,141.874,133.094,139.974,134.39,126.428,147.646,119.578,135.65,146.546,111.768,117.306,135.21,139.362,143.354,130.246,135.246,140.478,132.754,127.968,133.234,140.716,117.232,127.254,124.506,132.874,124.294,144.036
1F2N,112.542,129.618,132.382,118.666,126.128,124.818,120.686,127.228,129.384,134.878,139.392,102.838,144.062,131.904,104.638,103.168,123.544,146.056,134.466,100.366,120.124,152.552,159.05,96.832,155.612,159.01,93.984,110.186,129.78,137.222,115.946,123.852
1F2N,118.01,134.75,121.968,144.91,127.226,132.338,124.664,129.136,131.34,114.602,154.084,105.772,151.576,132.74,107.366,107.22,139.708,148.866,129.154,116.672,121.402,136.13,142.152,119.924,158.006,166.188,121.552,115.216,126.874,132.262,132.27,120.906
1F2N,108.374,134.736,125.744,113.57,128.788,140.898,131.888,139.532,134.61,123.654,146.422,115.294,135.946,146.876,108.508,113.18,134.398,130.398,140.512,127.91,129.646,136.584,130.88,122.444,129.866,136.608,112.972,122.14,125.738,126.566,123.576,146.886
1F2N,113.246,136.95,119.204,148.96,129.578,132.852,134.266,132.056,130.388,114.472,156.254,110.9,139.354,136.644,115.31,112.92,145.814,145.692,127.408,126.558,129.488,134.452,131.526,142.89,144.69,150.852,128.902,125.602,120.526,126.666,133.04,130.684
1F2N,110.162,136.332,110.288,159.99,130.794,142.024,135.656,136.634,125.09,109.762,149.072,92.954,151.272,138.836,107.028,110.602,147.572,130.658,103.61,127.602,116.15,145.986,116.284,150.452,152.356,158.822,136.892,119.024,114.494,124.094,136.74,124.43
1F2N,123.224,134.542,122.114,142.8,124.188,138.542,120.556,124.892,127.518,110.346,157.724,107.416,147.268,132.324,101.988,112.278,134.344,147.868,136.228,114.682,115.152,137.028,144.318,110.746,158.236,169.238,117.514,109.044,128.508,131.818,128.498,116.912
1F2N,112.056,129.666,131.478,119.102,126.85,122.582,120.386,128.192,130.522,136.28,141.158,102.154,143.964,132.482,104.134,103.388,125.266,144.76,133.38,100.812,120.506,150.762,160.696,97.522,155.498,157.626,93.692,110.058,128.942,136.37,116.258,123.184
1F2N,106.942,135.936,110.836,163.582,129.102,145.006,140.792,136.042,126.136,104.66,149.582,96.928,148.246,141.254,109.854,106.41,148.632,129.938,101.334,128.836,116.252,146.388,114.624,154.174,153.244,155.758,139.098,118.9,115.964,124.424,136.974,131.16
